羁绊,1,2,3,4,5,6,7,8
2枪手 2神谕者 2主宰 2裁决战士 1流浪法师 1暗裔 3德玛西亚 2祖安 ,加里奥,凯尔,瑞兹,盖伦,泽丽,金克丝,亚托克斯
2堡垒卫士 2挑战者 2亡眼射手 2神谕者 3艾欧尼亚 2暗影岛 2巨神峰 ,索拉卡,茂凯,慎,亚索,烬,卡莉丝塔,厄斐琉斯
2堡垒卫士 2枪手 2术士 2司令 3德玛西亚 1涤魂圣枪 2暗影岛 3约德尔人 ,提莫,崔丝塔娜,娑娜,茂凯,嘉文四世,波比,赛娜
4挑战者 2枪手 2主宰 3艾欧尼亚 1涤魂圣枪 2暗影岛 2祖安 ,沃里克,艾瑞莉娅,亚索,泽丽,赛娜,卡莉丝塔,瑟提
4挑战者 2枪手 2主宰 3艾欧尼亚 1涤魂圣枪 2暗影岛 2祖安 ,沃里克,艾瑞莉娅,亚索,金克丝,赛娜,卡莉丝塔,瑟提
2挑战者 2枪手 2主宰 2潜行者 3诺克萨斯 1涤魂圣枪 2暗影岛 2祖安 ,沃里克,卡特琳娜,德莱厄斯,泽丽,佛耶戈,赛娜,莎弥拉
2挑战者 2枪手 2主宰 2潜行者 3诺克萨斯 1涤魂圣枪 2暗影岛 2祖安 ,沃里克,卡特琳娜,德莱厄斯,金克丝,佛耶戈,赛娜,莎弥拉
2堡垒卫士 2格斗家 2亡眼射手 2法师 2弗雷尔卓德 2巨神峰 3虚空 ,艾希,科加斯,卡萨丁,塔里克,玛尔扎哈,瑟庄妮,厄斐琉斯
2堡垒卫士 2格斗家 2亡眼射手 2法师 2弗雷尔卓德 2巨神峰 3虚空 ,艾希,卡萨丁,塔里克,玛尔扎哈,瑟庄妮,雷克塞,厄斐琉斯
2堡垒卫士 2挑战者 2亡眼射手 2神谕者 2弗雷尔卓德 3艾欧尼亚 2暗影岛 ,艾希,艾瑞莉娅,茂凯,慎,丽桑卓,烬,卡莉丝塔
2亡眼射手 2神谕者 2潜行者 2裁决战士 2弗雷尔卓德 3艾欧尼亚 2暗影岛 ,艾希,卡尔玛,丽桑卓,烬,佛耶戈,劫,格温
2堡垒卫士 2挑战者 2亡眼射手 2神谕者 2弗雷尔卓德 3艾欧尼亚 2暗影岛 ,艾希,茂凯,慎,丽桑卓,亚索,烬,卡莉丝塔
2堡垒卫士 2挑战者 1女皇 2枪手 2暗影岛 3虚空 2祖安 ,卡萨丁,茂凯,卡莎,卑尔维斯,泽丽,金克丝,卡莉丝塔
2堡垒卫士 2挑战者 2枪手 2神谕者 3艾欧尼亚 2暗影岛 2祖安 ,艾瑞莉娅,卡尔玛,茂凯,慎,泽丽,金克丝,卡莉丝塔
2堡垒卫士 2挑战者 2亡眼射手 2法师 3艾欧尼亚 2暗影岛 2巨神峰 ,艾瑞莉娅,塔里克,茂凯,阿狸,烬,卡莉丝塔,厄斐琉斯
2挑战者 2枪手 2潜行者 2裁决战士 3艾欧尼亚 2暗影岛 2祖安 ,艾瑞莉娅,亚索,泽丽,金克丝,佛耶戈,劫,格温
2堡垒卫士 2挑战者 2枪手 2神谕者 3艾欧尼亚 2暗影岛 2祖安 ,卡尔玛,茂凯,慎,亚索,泽丽,金克丝,卡莉丝塔
2堡垒卫士 2挑战者 2亡眼射手 2法师 3艾欧尼亚 2暗影岛 2巨神峰 ,塔里克,茂凯,阿狸,亚索,烬,卡莉丝塔,厄斐琉斯
