羁绊,1,2,3,4,5,6,7,8
2堡垒卫士 2术士 2裁决战士 2司令 3德玛西亚 2恕瑞玛 3比尔吉沃特 ,凯尔,娑娜,阿兹尔,俄洛伊,崔斯特,厄运小姐,奎因,奎桑提
2堡垒卫士 2格斗家 2挑战者 1女皇 2裁决战士 1暗裔 3德玛西亚 2恕瑞玛 3虚空 ,凯尔,卡萨丁,雷克顿,波比,卑尔维斯,菲奥娜,雷克塞,纳亚菲利
2挑战者 2裁决战士 2司令 2征服者 1暗裔 3德玛西亚 3艾欧尼亚 2恕瑞玛 ,凯尔,艾瑞莉娅,嘉文四世,烬,阿兹尔,奎因,霞,纳亚菲利
2堡垒卫士 2挑战者 2裁决战士 2征服者 1暗裔 3德玛西亚 3艾欧尼亚 2恕瑞玛 ,凯尔,艾瑞莉娅,波比,烬,奎因,霞,奎桑提,纳亚菲利
2堡垒卫士 2神谕者 2裁决战士 2征服者 3德玛西亚 3艾欧尼亚 2以绪塔尔 ,凯尔,卡尔玛,波比,烬,米利欧,妮蔻,奎因,霞
2主宰 2术士 2裁决战士 2司令 3德玛西亚 2恕瑞玛 3比尔吉沃特 ,凯尔,嘉文四世,内瑟斯,塔莉垭,崔斯特,厄运小姐,诺提勒斯,奎因
2主宰 2裁决战士 2司令 2征服者 3德玛西亚 3艾欧尼亚 2恕瑞玛 ,凯尔,嘉文四世,内瑟斯,烬,阿兹尔,奎因,霞,瑟提
2堡垒卫士 2主宰 2裁决战士 2司令 3德玛西亚 2恕瑞玛 3比尔吉沃特 ,凯尔,嘉文四世,内瑟斯,俄洛伊,厄运小姐,诺提勒斯,奎因,奎桑提
2堡垒卫士 2枪手 2潜行者 2裁决战士 2司令 1海洋之灾 3德玛西亚 3比尔吉沃特 2以绪塔尔 ,凯尔,嘉文四世,波比,厄运小姐,妮蔻,格雷福斯,奇亚娜,普朗克
2堡垒卫士 2术士 2裁决战士 2司令 3德玛西亚 2恕瑞玛 3比尔吉沃特 ,凯尔,嘉文四世,塔莉垭,俄洛伊,崔斯特,厄运小姐,奎因,奎桑提
2堡垒卫士 2枪手 2裁决战士 2法师 1大发明家 3德玛西亚 3皮尔特沃夫 2巨神峰 ,凯尔,奥莉安娜,黑默丁格,波比,杰斯,厄斐琉斯,奎因,塔里克
2堡垒卫士 2主宰 2术士 2裁决战士 3德玛西亚 2恕瑞玛 3比尔吉沃特 ,凯尔,内瑟斯,波比,塔莉垭,俄洛伊,崔斯特,诺提勒斯,奎因
2堡垒卫士 2主宰 2裁决战士 2征服者 3德玛西亚 3艾欧尼亚 2恕瑞玛 ,凯尔,内瑟斯,波比,烬,奎因,霞,瑟提,奎桑提
2堡垒卫士 2主宰 2裁决战士 2司令 3德玛西亚 2恕瑞玛 3比尔吉沃特 ,凯尔,内瑟斯,波比,阿兹尔,俄洛伊,厄运小姐,诺提勒斯,奎因
2挑战者 2主宰 2裁决战士 2征服者 1暗裔 3德玛西亚 3艾欧尼亚 2恕瑞玛 ,凯尔,内瑟斯,烬,奎因,菲奥娜,霞,瑟提,纳亚菲利
2堡垒卫士 2术士 2裁决战士 2司令 3德玛西亚 2恕瑞玛 3比尔吉沃特 ,凯尔,波比,塔莉垭,阿兹尔,俄洛伊,崔斯特,厄运小姐,奎因
2挑战者 1女皇 2术士 2裁决战士 2法师 1暗裔 3德玛西亚 2恕瑞玛 3虚空 ,凯尔,玛尔扎哈,塔莉垭,卑尔维斯,奎因,菲奥娜,维克兹,纳亚菲利
2格斗家 2挑战者 1女皇 2神谕者 2裁决战士 1流浪法师 1暗裔 3诺克萨斯 2恕瑞玛 3虚空 ,瑞兹,赛恩,卡莎,卑尔维斯,莫德凯撒,卡西奥佩娅,雷克塞,纳亚菲利
2堡垒卫士 2格斗家 1女皇 2神谕者 2法师 1流浪法师 2恕瑞玛 2巨神峰 3虚空 ,瑞兹,索拉卡,科加斯,雷克顿,玛尔扎哈,卑尔维斯,奎桑提,塔里克
2堡垒卫士 2挑战者 2神谕者 2术士 2法师 1流浪法师 1暗裔 2恕瑞玛 2巨神峰 3虚空 ,瑞兹,索拉卡,卡萨丁,卡莎,塔莉垭,塔里克,维克兹,纳亚菲利
2堡垒卫士 2格斗家 2神谕者 2法师 1大发明家 1流浪法师 3皮尔特沃夫 2恕瑞玛 2巨神峰 ,瑞兹,索拉卡,雷克顿,奥莉安娜,黑默丁格,蔚,奎桑提,塔里克
2枪手 2神谕者 2主宰 2术士 1海洋之灾 1流浪法师 2恕瑞玛 2巨神峰 3比尔吉沃特 ,瑞兹,索拉卡,内瑟斯,塔莉垭,厄斐琉斯,崔斯特,诺提勒斯,普朗克
2枪手 2神谕者 2主宰 2司令 1海洋之灾 1流浪法师 2恕瑞玛 2巨神峰 3比尔吉沃特 ,瑞兹,索拉卡,内瑟斯,阿兹尔,厄斐琉斯,厄运小姐,诺提勒斯,普朗克
2堡垒卫士 2枪手 2神谕者 2主宰 1海洋之灾 1流浪法师 2恕瑞玛 2巨神峰 3比尔吉沃特 ,瑞兹,索拉卡,内瑟斯,厄斐琉斯,俄洛伊,诺提勒斯,奎桑提,普朗克
2堡垒卫士 2挑战者 1女皇 2神谕者 2法师 1流浪法师 1暗裔 2恕瑞玛 2巨神峰 3虚空 ,瑞兹,索拉卡,玛尔扎哈,卡莎,卑尔维斯,奎桑提,塔里克,纳亚菲利
2枪手 2神谕者 2法师 2征服者 1流浪法师 3艾欧尼亚 2巨神峰 2祖安 ,瑞兹,索拉卡,阿狸,烬,金克丝,厄斐琉斯,希尔科,霞
2枪手 2神谕者 2术士 2司令 1海洋之灾 1流浪法师 2恕瑞玛 2巨神峰 3比尔吉沃特 ,瑞兹,索拉卡,塔莉垭,阿兹尔,厄斐琉斯,崔斯特,厄运小姐,普朗克
2堡垒卫士 2枪手 2神谕者 2术士 1海洋之灾 1流浪法师 2恕瑞玛 2巨神峰 3比尔吉沃特 ,瑞兹,索拉卡,塔莉垭,厄斐琉斯,俄洛伊,崔斯特,奎桑提,普朗克
2堡垒卫士 2枪手 2神谕者 2司令 1海洋之灾 1流浪法师 2恕瑞玛 2巨神峰 3比尔吉沃特 ,瑞兹,索拉卡,阿兹尔,厄斐琉斯,俄洛伊,厄运小姐,奎桑提,普朗克
2格斗家 2挑战者 2神谕者 2征服者 1流浪法师 1暗裔 2弗雷尔卓德 3艾欧尼亚 2恕瑞玛 ,瑞兹,艾希,艾瑞莉娅,卡尔玛,雷克顿,瑟庄妮,烬,纳亚菲利
2格斗家 2挑战者 2神谕者 2征服者 1流浪法师 1暗裔 2弗雷尔卓德 3艾欧尼亚 2恕瑞玛 ,瑞兹,艾希,艾瑞莉娅,卡尔玛,雷克顿,瑟庄妮,霞,纳亚菲利
2格斗家 2神谕者 2主宰 2征服者 1流浪法师 2弗雷尔卓德 3艾欧尼亚 2恕瑞玛 ,瑞兹,艾希,卡尔玛,雷克顿,内瑟斯,瑟庄妮,烬,瑟提
2格斗家 2神谕者 2主宰 2征服者 1流浪法师 2弗雷尔卓德 3艾欧尼亚 2恕瑞玛 ,瑞兹,艾希,卡尔玛,雷克顿,内瑟斯,瑟庄妮,霞,瑟提
2格斗家 2神谕者 2主宰 2裁决战士 2征服者 1流浪法师 1暗裔 2弗雷尔卓德 3诺克萨斯 2恕瑞玛 ,瑞兹,艾希,雷克顿,瑟庄妮,莫德凯撒,卡西奥佩娅,德莱厄斯,亚托克斯
2堡垒卫士 2格斗家 2挑战者 2神谕者 1流浪法师 1暗裔 2恕瑞玛 3虚空 2以绪塔尔 ,瑞兹,科加斯,卡萨丁,雷克顿,卡莎,米利欧,妮蔻,纳亚菲利
2格斗家 2挑战者 1女皇 2神谕者 2裁决战士 1流浪法师 1暗裔 3诺克萨斯 2恕瑞玛 3虚空 ,瑞兹,科加斯,卑尔维斯,莎弥拉,莫德凯撒,卡西奥佩娅,雷克塞,纳亚菲利
2堡垒卫士 2神谕者 2术士 2司令 1流浪法师 3德玛西亚 2恕瑞玛 2以绪塔尔 ,瑞兹,娑娜,嘉文四世,波比,塔莉垭,阿兹尔,米利欧,妮蔻
2堡垒卫士 2挑战者 2神谕者 2术士 1流浪法师 1暗裔 3德玛西亚 2恕瑞玛 2以绪塔尔 ,瑞兹,娑娜,波比,塔莉垭,米利欧,妮蔻,菲奥娜,纳亚菲利
2挑战者 2神谕者 2主宰 2裁决战士 2征服者 1流浪法师 1暗裔 3艾欧尼亚 3诺克萨斯 ,瑞兹,艾瑞莉娅,卡尔玛,烬,莎弥拉,莫德凯撒,德莱厄斯,亚托克斯
2挑战者 2神谕者 2主宰 2裁决战士 2征服者 1流浪法师 1暗裔 3艾欧尼亚 3诺克萨斯 ,瑞兹,艾瑞莉娅,卡尔玛,莎弥拉,莫德凯撒,霞,德莱厄斯,亚托克斯
2堡垒卫士 2挑战者 2神谕者 2主宰 2裁决战士 1流浪法师 1暗裔 3德玛西亚 3艾欧尼亚 ,瑞兹,艾瑞莉娅,波比,奎因,菲奥娜,瑟提,慎,亚托克斯
2堡垒卫士 2挑战者 2神谕者 2征服者 1流浪法师 1暗裔 3艾欧尼亚 2恕瑞玛 2以绪塔尔 ,瑞兹,艾瑞莉娅,烬,米利欧,妮蔻,霞,奎桑提,纳亚菲利
2枪手 2神谕者 2主宰 2潜行者 1海洋之灾 2征服者 1流浪法师 3诺克萨斯 2恕瑞玛 3比尔吉沃特 ,瑞兹,卡特琳娜,内瑟斯,尼菈,卡西奥佩娅,德莱厄斯,格雷福斯,普朗克
2堡垒卫士 2挑战者 2神谕者 2司令 1流浪法师 1暗裔 3德玛西亚 2恕瑞玛 2以绪塔尔 ,瑞兹,嘉文四世,波比,阿兹尔,米利欧,妮蔻,菲奥娜,纳亚菲利
2堡垒卫士 2枪手 2神谕者 2法师 1大发明家 1流浪法师 3皮尔特沃夫 2巨神峰 2以绪塔尔 ,瑞兹,奥莉安娜,黑默丁格,杰斯,厄斐琉斯,米利欧,妮蔻,塔里克
2堡垒卫士 2神谕者 2主宰 2术士 1流浪法师 2恕瑞玛 3比尔吉沃特 2以绪塔尔 ,瑞兹,内瑟斯,塔莉垭,俄洛伊,米利欧,崔斯特,诺提勒斯,妮蔻
2堡垒卫士 2神谕者 2主宰 2征服者 1流浪法师 3艾欧尼亚 2恕瑞玛 2以绪塔尔 ,瑞兹,内瑟斯,烬,米利欧,妮蔻,霞,瑟提,奎桑提
2堡垒卫士 2神谕者 2主宰 2司令 1流浪法师 2恕瑞玛 3比尔吉沃特 2以绪塔尔 ,瑞兹,内瑟斯,阿兹尔,俄洛伊,米利欧,厄运小姐,诺提勒斯,妮蔻
2堡垒卫士 2挑战者 2神谕者 2主宰 2法师 1流浪法师 1暗裔 3艾欧尼亚 2恕瑞玛 2祖安 ,瑞兹,阿狸,希尔科,瑟提,奎桑提,沃里克,慎,纳亚菲利
2堡垒卫士 2神谕者 2术士 2司令 1流浪法师 2恕瑞玛 3比尔吉沃特 2以绪塔尔 ,瑞兹,塔莉垭,阿兹尔,俄洛伊,米利欧,崔斯特,厄运小姐,妮蔻
2格斗家 2枪手 2主宰 2潜行者 1海洋之灾 2征服者 2弗雷尔卓德 3诺克萨斯 3比尔吉沃特 ,赛恩,艾希,卡特琳娜,瑟庄妮,诺提勒斯,德莱厄斯,格雷福斯,普朗克
2堡垒卫士 2格斗家 1女皇 2潜行者 2裁决战士 3诺克萨斯 3虚空 2以绪塔尔 ,赛恩,科加斯,卡萨丁,卡特琳娜,卑尔维斯,妮蔻,莫德凯撒,奇亚娜
4格斗家 2挑战者 1女皇 2裁决战士 1暗裔 3诺克萨斯 2恕瑞玛 3虚空 ,赛恩,科加斯,雷克顿,卑尔维斯,莎弥拉,莫德凯撒,雷克塞,纳亚菲利
2格斗家 2挑战者 1女皇 2法师 2司令 1暗裔 3诺克萨斯 2恕瑞玛 3虚空 ,赛恩,科加斯,玛尔扎哈,卑尔维斯,阿兹尔,莎弥拉,斯维因,纳亚菲利
2格斗家 2挑战者 2术士 2裁决战士 3德玛西亚 3诺克萨斯 2恕瑞玛 ,赛恩,娑娜,雷克顿,塔莉垭,莎弥拉,奎因,菲奥娜,莫德凯撒
2堡垒卫士 2格斗家 2挑战者 2潜行者 2裁决战士 3诺克萨斯 3虚空 2以绪塔尔 ,赛恩,卡萨丁,卡特琳娜,卡莎,莎弥拉,妮蔻,雷克塞,奇亚娜
2堡垒卫士 2格斗家 2挑战者 1女皇 2裁决战士 1暗裔 3诺克萨斯 2恕瑞玛 3虚空 ,赛恩,卡萨丁,卑尔维斯,莎弥拉,莫德凯撒,奎桑提,雷克塞,纳亚菲利
2格斗家 2枪手 2主宰 2潜行者 1海洋之灾 2征服者 3诺克萨斯 2恕瑞玛 3比尔吉沃特 ,赛恩,卡特琳娜,雷克顿,内瑟斯,尼菈,德莱厄斯,格雷福斯,普朗克
2格斗家 2挑战者 2裁决战士 2司令 3德玛西亚 3诺克萨斯 2恕瑞玛 ,赛恩,雷克顿,嘉文四世,阿兹尔,莎弥拉,奎因,菲奥娜,莫德凯撒
2堡垒卫士 2格斗家 2挑战者 2裁决战士 3德玛西亚 3诺克萨斯 2恕瑞玛 ,赛恩,雷克顿,波比,莎弥拉,奎因,菲奥娜,莫德凯撒,奎桑提
2堡垒卫士 2格斗家 2挑战者 2神谕者 1暗裔 3诺克萨斯 4恕瑞玛 2以绪塔尔 ,赛恩,雷克顿,莎弥拉,米利欧,妮蔻,奎桑提,卡西奥佩娅,纳亚菲利
2格斗家 2挑战者 2法师 2司令 1大发明家 1暗裔 3诺克萨斯 3皮尔特沃夫 2恕瑞玛 ,赛恩,奥莉安娜,黑默丁格,蔚,阿兹尔,莎弥拉,斯维因,纳亚菲利
2格斗家 2挑战者 2术士 2裁决战士 2法师 1暗裔 3诺克萨斯 2恕瑞玛 3虚空 ,赛恩,玛尔扎哈,塔莉垭,莎弥拉,莫德凯撒,维克兹,雷克塞,纳亚菲利
2堡垒卫士 2挑战者 1女皇 2神谕者 2法师 3艾欧尼亚 2巨神峰 3虚空 ,索拉卡,卡萨丁,艾瑞莉娅,卡尔玛,阿狸,卡莎,卑尔维斯,塔里克
2堡垒卫士 1女皇 2神谕者 2法师 2征服者 3艾欧尼亚 2巨神峰 3虚空 ,索拉卡,卡萨丁,卡尔玛,玛尔扎哈,卑尔维斯,烬,霞,塔里克
2枪手 2神谕者 2主宰 1海洋之灾 2征服者 3艾欧尼亚 2巨神峰 3比尔吉沃特 ,索拉卡,卡尔玛,烬,厄斐琉斯,诺提勒斯,尼菈,瑟提,普朗克
2枪手 2神谕者 2主宰 1海洋之灾 2征服者 3艾欧尼亚 2巨神峰 3比尔吉沃特 ,索拉卡,卡尔玛,厄斐琉斯,诺提勒斯,尼菈,霞,瑟提,普朗克
2堡垒卫士 2枪手 2神谕者 2法师 1大发明家 3皮尔特沃夫 3巨神峰 2以绪塔尔 ,索拉卡,奥莉安娜,黑默丁格,杰斯,厄斐琉斯,米利欧,妮蔻,塔里克
2堡垒卫士 2挑战者 2神谕者 2主宰 2法师 1暗裔 2恕瑞玛 2巨神峰 2祖安 2以绪塔尔 ,索拉卡,内瑟斯,米利欧,妮蔻,希尔科,沃里克,塔里克,纳亚菲利
2堡垒卫士 2挑战者 2神谕者 2法师 2司令 1暗裔 3诺克萨斯 4恕瑞玛 2巨神峰 ,索拉卡,阿兹尔,莎弥拉,奎桑提,塔里克,斯维因,卡西奥佩娅,纳亚菲利
2格斗家 2挑战者 2法师 2征服者 2弗雷尔卓德 3艾欧尼亚 3虚空 ,艾希,科加斯,艾瑞莉娅,玛尔扎哈,阿狸,瑟庄妮,卡莎,烬
2格斗家 2挑战者 2法师 2征服者 2弗雷尔卓德 3艾欧尼亚 3虚空 ,艾希,科加斯,艾瑞莉娅,玛尔扎哈,阿狸,瑟庄妮,卡莎,霞
2格斗家 2挑战者 2主宰 2裁决战士 2征服者 2暗裔 2弗雷尔卓德 3诺克萨斯 2恕瑞玛 ,艾希,雷克顿,瑟庄妮,莎弥拉,莫德凯撒,德莱厄斯,亚托克斯,纳亚菲利
2堡垒卫士 2格斗家 2挑战者 2术士 3德玛西亚 2恕瑞玛 3虚空 ,科加斯,娑娜,卡萨丁,雷克顿,波比,卡莎,塔莉垭,菲奥娜
2格斗家 2挑战者 1女皇 2术士 2裁决战士 1暗裔 3德玛西亚 2恕瑞玛 3虚空 ,科加斯,娑娜,塔莉垭,卑尔维斯,奎因,菲奥娜,雷克塞,纳亚菲利
